"","Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"","MIA","38","$42,227,583","$1,111,252","$258,500","$3,519,139"
"","TOR","34","$32,976,320","$969,892","$199,096","$2,764,565"
"","CHI","32","$25,377,012","$793,032","$402,375","$1,505,672"
"","LAFC","37","$23,634,223","$638,763","$368,750","$842,129"
"","CIN","34","$22,709,609","$667,930","$346,250","$858,017"
"","LAG","29","$22,235,492","$766,741","$291,667","$1,147,299"
"","NSH","30","$21,864,490","$728,816","$345,000","$1,152,500"
"","NER","36","$21,066,528","$585,181","$428,125","$774,107"
"","ATL","34","$20,662,733","$607,727","$442,250","$763,112"
"","HOU","32","$20,515,359","$641,105","$375,625","$1,030,150"
"","ATX","29","$20,293,880","$699,789","$375,000","$1,247,523"
"","VAN","32","$18,675,545","$583,611","$379,712","$698,080"
"","NYRB","32","$18,632,549","$582,267","$322,625","$1,060,369"
"","CLT","37","$18,283,170","$494,140","$311,875","$617,382"
"","DCU","30","$17,992,939","$599,765","$316,150","$897,708"
"","MIN","38","$17,925,557","$471,725","$186,293","$698,916"
"","ORL","33","$17,493,932","$530,119","$305,900","$797,433"
"","CLB","29","$17,431,964","$601,102","$432,500","$777,649"
"","STL","38","$17,345,232","$456,453","$252,875","$525,627"
"","FCD","37","$17,314,991","$467,973","$227,750","$580,269"
"","SKC","30","$17,291,231","$576,374","$427,500","$748,790"
"","COL","34","$17,256,580","$507,546","$362,157","$501,826"
"","RSL","45","$16,960,200","$376,893","$209,667","$448,465"
"","SEA","28","$16,680,315","$595,726","$304,950","$717,993"
"","NYC","33","$16,530,703","$500,930","$328,483","$523,281"
"","POR","27","$16,227,333","$601,012","$452,000","$629,555"
"","PHI","38","$16,049,504","$422,355","$244,292","$473,643"
"","SJE","34","$14,738,128","$433,474","$251,500","$479,885"
"","MTL","36","$13,387,068","$371,863","$277,740","$355,980"
"","","14","$10,241,201","$731,514","$695,000","$662,450"